"Status","Year","Parent_department","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Stoke-on-Trent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","York","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","York","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heart of Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Liverpool","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Sheffield","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Tyneside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wakefield","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Westminster","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Westminster","G6/G7","15","15","58820","54760"
"In post","2021","Attorney General's Departments","Communications","Westminster","SCS level","[c]","[c]","[c]","[c]"
