"Status","Year","Parent_department","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","Heterosexual / straight","315","290","38320","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","Unknown","100","90","38410","34480"
"In post","2021","Attorney General's Departments","East of England","Outside London","Heterosexual / straight","350","320","39880","35020"
"In post","2021","Attorney General's Departments","East of England","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Outside London","Unknown","105","90","43520","37120"
"In post","2021","Attorney General's Departments","London","London","Heterosexual / straight","3125","2960","49120","51250"
"In post","2021","Attorney General's Departments","London","London","LGBO","265","255","49570","51250"
"In post","2021","Attorney General's Departments","London","London","Undeclared","250","235","51550","51830"
"In post","2021","Attorney General's Departments","London","London","Unknown","1045","960","52340","54770"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","Heterosexual / straight","240","220","38110","33310"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","Unknown","80","70","38190","28430"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","Heterosexual / straight","715","670","38990","33310"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","LGBO","35","35","38300","31090"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","Unknown","200","185","41650","34480"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","Heterosexual / straight","475","450","41640","36240"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","LGBO","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","Unknown","170","150","44740","40000"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","Heterosexual / straight","230","215","39870","38000"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","Unknown","70","60","48430","54030"
"In post","2021","Attorney General's Departments","Wales","Outside London","Heterosexual / straight","255","240","40610","38090"
"In post","2021","Attorney General's Departments","Wales","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Outside London","Unknown","85","75","43310","51470"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","Heterosexual / straight","390","365","39180","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","Unknown","150","135","41420","38760"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","Heterosexual / straight","665","620","41530","38180"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","LGBO","40","35","39130","30680"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","Unknown","255","225","44630","51470"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Outside London","Heterosexual / straight","55","50","39830","33300"
"In post","2021","Cabinet Office","East of England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Outside London","Unknown","50","45","56820","55460"
"In post","2021","Cabinet Office","London","London","Heterosexual / straight","3220","3165","51980","54700"
"In post","2021","Cabinet Office","London","London","LGBO","365","360","47280","41820"
"In post","2021","Cabinet Office","London","London","Undeclared","405","400","50850","54700"
"In post","2021","Cabinet Office","London","London","Unknown","2505","2485","47150","34550"
"In post","2021","Cabinet Office","North East (England)","Outside London","Heterosexual / straight","315","290","28550","23850"
"In post","2021","Cabinet Office","North East (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Outside London","Unknown","70","65","34980","28630"
"In post","2021","Cabinet Office","North West (England)","Outside London","Heterosexual / straight","170","165","44130","37300"
"In post","2021","Cabinet Office","North West (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Outside London","Unknown","270","265","49100","49700"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Outside London","Unknown","65","65","50160","50260"
"In post","2021","Cabinet Office","South East (England)","Outside London","Heterosexual / straight","80","75","37440","33300"
"In post","2021","Cabinet Office","South East (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","Outside London","Unknown","125","125","46700","35900"
"In post","2021","Cabinet Office","South West (England)","Outside London","Heterosexual / straight","60","60","44300","38420"
"In post","2021","Cabinet Office","South West (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","Outside London","Unknown","110","110","60550","53320"
"In post","2021","Cabinet Office","Unknown","Unknown","Heterosexual / straight","140","135","41870","35900"
"In post","2021","Cabinet Office","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","Unknown","440","440","34530","32000"
"In post","2021","Cabinet Office","Wales","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Wales","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","Outside London","Unknown","55","55","35770","29250"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","Unknown","45","45","54390","51560"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","Heterosexual / straight","335","315","35580","33300"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","Unknown","345","335","37590","29250"
"In post","2021","Chancellor's other departments","London","London","Heterosexual / straight","265","255","60720","50560"
"In post","2021","Chancellor's other departments","London","London","LGBO","15","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","London","Undeclared","75","70","58630","48770"
"In post","2021","Chancellor's other departments","London","London","Unknown","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","London","Heterosexual / straight","35","35","42730","37910"
"In post","2021","Charity Commission","London","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","London","Unknown","30","30","42290","37910"
"In post","2021","Charity Commission","North West (England)","Outside London","Heterosexual / straight","170","160","32590","29160"
"In post","2021","Charity Commission","North West (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Outside London","Unknown","115","110","33170","29320"
"In post","2021","Charity Commission","South West (England)","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","London","Heterosexual / straight","635","615","60050","56360"
