"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","Heterosexual / straight","130","120","41700","40000"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","35","30","45530","45260"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","90","85","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","35","30","47410","52330"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","West Cumbria","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","185","175","36800","28430"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Unknown","70","65","38910","34480"
"In post","2021","Attorney General's Departments","Devon","Devon CC","Heterosexual / straight","80","75","39080","34480"
"In post","2021","Attorney General's Departments","Devon","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Devon CC","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Cambridgeshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Heterosexual / straight","55","50","35650","28430"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Unknown","15","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Peterborough","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Suffolk","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Suffolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Suffolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Suffolk","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","155","145","41350","40420"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Unknown","45","40","41490","40040"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","Heterosexual / straight","50","45","39190","37780"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","Undeclared","[c]","[c]","[c]","[c]"
