"Status","Year","Parent_department","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Female","115","100","38990","30110"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Male","55","55","49620","51120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","105","95","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","35","35","48060","50520"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Outside London","Female","30","25","33800","25950"
"In post","2021","Attorney General's Departments","Cumbria","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Female","180","165","36980","28430"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Male","95","90","38360","34480"
"In post","2021","Attorney General's Departments","Devon","Outside London","Female","55","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon","Outside London","Male","45","45","41380","36240"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","Female","80","65","32660","28430"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","Male","40","40","44050","48080"
"In post","2021","Attorney General's Departments","East Wales","Outside London","Female","190","170","38610","37890"
"In post","2021","Attorney General's Departments","East Wales","Outside London","Male","100","95","46140","48830"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Female","50","45","37270","28430"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Outside London","Female","135","120","40170","34140"
"In post","2021","Attorney General's Departments","Essex","Outside London","Male","55","50","43630","36240"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","135","120","41310","40050"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","70","70","47140","51160"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","Female","245","215","39720","33900"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","Male","120","120","44360","48080"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Female","175","160","42130","36240"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Male","90","85","44300","50520"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","London","Female","2830","2600","50020","51250"
"In post","2021","Attorney General's Departments","Inner London - West","London","Male","1680","1645","51330","51250"
"In post","2021","Attorney General's Departments","Kent","Outside London","Female","80","75","36790","30110"
"In post","2021","Attorney General's Departments","Kent","Outside London","Male","45","45","44030","45260"
"In post","2021","Attorney General's Departments","Lancashire","Outside London","Female","110","100","38190","32890"
"In post","2021","Attorney General's Departments","Lancashire","Outside London","Male","65","65","43340","48080"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Outside London","Female","110","100","37620","34480"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Outside London","Male","45","40","43880","48830"
"In post","2021","Attorney General's Departments","Lincolnshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Outside London","Female","240","225","35850","28430"
"In post","2021","Attorney General's Departments","Merseyside","Outside London","Male","125","125","40890","38180"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Outside London","Female","195","170","45790","51470"
"In post","2021","Attorney General's Departments","North Yorkshire","Outside London","Male","125","120","49250","55610"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Outside London","Female","160","145","36040","28430"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Outside London","Male","85","80","41760","48080"
"In post","2021","Attorney General's Departments","Outer London - East and North East","London","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","London","Female","60","55","39340","31710"
"In post","2021","Attorney General's Departments","Outer London - South","London","Male","35","35","37550","31180"
"In post","2021","Attorney General's Departments","Outer London - West and North West","London","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Outside London","Female","50","45","39470","38760"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Outside London","Female","100","85","34320","28430"
"In post","2021","Attorney General's Departments","South Yorkshire","Outside London","Male","40","40","39800","34480"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Outside London","Female","115","105","41010","33960"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Outside London","Male","50","50","45580","50520"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Outside London","Female","70","60","36990","28430"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Outside London","Female","325","295","38140","32170"
"In post","2021","Attorney General's Departments","West Midlands","Outside London","Male","160","160","43130","40420"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Outside London","Female","55","50","38900","33310"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Outside London","Male","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Outside London","Female","290","260","39000","34480"
"In post","2021","Attorney General's Departments","West Yorkshire","Outside London","Male","160","155","44820","48080"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","60","60","33420","33000"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","60","55","37790","33300"
"In post","2021","Cabinet Office","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Devon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Devon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Dorset and Somerset","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","Outside London","Female","55","50","47860","40250"
