"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","75","70","43680","42490"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","40","40","41620","38150"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","20","20","42650","39040"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","20","20","43500","39580"
"In post","2021","Commercial","East of England","East Anglia","220","215","38250","35730"
"In post","2021","Commercial","East of England","Essex","5","5","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","75","75","45090","41190"
"In post","2021","Commercial","London","Inner London - West","575","560","50230","44480"
"In post","2021","Commercial","London","Outer London - East and North East","10","10","50480","52150"
"In post","2021","Commercial","London","Outer London - South","150","145","43970","43420"
"In post","2021","Commercial","London","Outer London - West and North West","75","75","37840","32880"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","30","30","42090","40930"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","85","80","43480","40300"
"In post","2021","Commercial","North West (England)","Cheshire","25","20","40580","36970"
"In post","2021","Commercial","North West (England)","Cumbria","15","15","38200","34030"
"In post","2021","Commercial","North West (England)","Greater Manchester","220","210","39840","37920"
"In post","2021","Commercial","North West (England)","Lancashire","30","30","46460","44760"
"In post","2021","Commercial","North West (England)","Merseyside","230","220","36010","34800"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Scotland","Eastern Scotland","90","85","33600","28410"
"In post","2021","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","70","65","40370","39630"
"In post","2021","Commercial","Scotland","West Central Scotland","110","105","34650","33300"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","185","180","39050","37070"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","220","210","36180","34800"
"In post","2021","Commercial","South East (England)","Kent","20","20","45340","46550"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","40","40","44830","40890"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","220","215","42790","39790"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","70","65","42320","40430"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1425","1365","38880","35900"
"In post","2021","Commercial","Unknown","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Wales","East Wales","155","155","36670","33290"
"In post","2021","Commercial","Wales","West Wales and The Valleys","175","160","33470","31040"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","20","20","42060","46780"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","100","95","39280","34800"
"In post","2021","Commercial","West Midlands (England)","West Midlands","130","130","38940","37040"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","20","20","40870","37730"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","55","55","41100","38180"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","105","100","38610","36960"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","190","185","40810","36820"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","85","80","36960","36590"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","15","15","29900","29720"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","30","30","36340","33200"
"In post","2021","Communications","East of England","East Anglia","45","45","33420","31170"
"In post","2021","Communications","East of England","Essex","15","15","32420","32550"
"In post","2021","Communications","London","Inner London - East","220","210","47650","42290"
"In post","2021","Communications","London","Inner London - West","1805","1770","46330","42710"
"In post","2021","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","30","30","42300","39690"
"In post","2021","Communications","London","Outer London - West and North West","35","35","37350","35090"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","85","80","34370","31810"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","30","30","31520","29360"
"In post","2021","Communications","North West (England)","Cheshire","10","10","40980","37560"
"In post","2021","Communications","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","Greater Manchester","90","85","34140","31890"
"In post","2021","Communications","North West (England)","Lancashire","30","25","32350","33000"
"In post","2021","Communications","North West (England)","Merseyside","70","70","39790","36780"
"In post","2021","Communications","Northern Ireland","Northern Ireland","30","30","41190","38270"
"In post","2021","Communications","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","40","40","40310","36750"
"In post","2021","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","25","25","34890","33260"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","85","80","32450","31200"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","185","180","33120","31560"
"In post","2021","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","20","20","38750","38520"
"In post","2021","Communications","South West (England)","Cornwall and Isles of Scilly","10","10","23260","21130"
"In post","2021","Communications","South West (England)","Devon","50","45","35460","33220"
"In post","2021","Communications","South West (England)","Dorset and Somerset","45","40","34250","33290"
"In post","2021","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","210","200","36470","34770"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","East Wales","255","240","38770","37180"
"In post","2021","Communications","Wales","West Wales and The Valleys","100","95","31830","26780"
"In post","2021","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","20","20","37130","36750"
"In post","2021","Communications","West Midlands (England)","Shropshire and Staffordshire","35","35","31210","29180"
"In post","2021","Communications","West Midlands (England)","West Midlands","90","85","42560","39670"
"In post","2021","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","North Yorkshire","20","20","33330","35690"
"In post","2021","Communications","Yorkshire and The Humber","South Yorkshire","50","50","37890","34730"
"In post","2021","Communications","Yorkshire and The Humber","West Yorkshire","55","55","49320","49530"
"In post","2021","Corporate Finance","East of England","East Anglia","10","10","31730","26890"
"In post","2021","Corporate Finance","London","Inner London - East","25","25","50880","45920"
"In post","2021","Corporate Finance","London","Inner London - West","50","50","58230","57890"
"In post","2021","Corporate Finance","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","West Central Scotland","10","10","44490","42390"
"In post","2021","Corporate Finance","South East (England)","Hampshire and Isle of Wight","25","25","35620","29980"
"In post","2021","Corporate Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","43570","40700"
"In post","2021","Corporate Finance","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","West Midlands","10","10","45510","40800"
"In post","2021","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","20","15","35050","36060"
"In post","2021","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Bedfordshire and Hertfordshire","20","20","38930","38510"
"In post","2021","Counter Fraud","East of England","East Anglia","15","15","26870","25310"
"In post","2021","Counter Fraud","East of England","Essex","5","5","[c]","[c]"
"In post","2021","Counter Fraud","London","Inner London - East","40","35","42960","43050"
"In post","2021","Counter Fraud","London","Inner London - West","345","335","43660","40000"
"In post","2021","Counter Fraud","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Outer London - South","10","10","38460","37480"
"In post","2021","Counter Fraud","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Tees Valley and Durham","30","30","26490","25310"
"In post","2021","Counter Fraud","North West (England)","Greater Manchester","65","60","38620","39170"
"In post","2021","Counter Fraud","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Merseyside","35","30","31360","25580"
"In post","2021","Counter Fraud","Northern Ireland","Northern Ireland","10","10","23850","24970"
"In post","2021","Counter Fraud","Scotland","Eastern Scotland","15","15","36040","35230"
"In post","2021","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","West Central Scotland","70","65","27810","25310"
"In post","2021","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
