"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Outside London","10","10","46300","40890"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","20","20","35720","37070"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Outside London","55","50","36230","36800"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","75","75","43780","41160"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Outside London","35","35","35180","34800"
"In post","2021","Commercial","Cheshire","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Warrington","Outside London","20","20","37820","35900"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","West Cumbria","Outside London","15","15","39570","38860"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Nottingham","Outside London","40","40","41330","41100"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","20","20","52480","53400"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Devon","Devon CC","Outside London","200","190","42960","40140"
"In post","2021","Commercial","Devon","Plymouth","Outside London","25","25","40310","38550"
"In post","2021","Commercial","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Bournemouth and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Dorset CC","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Somerset","Outside London","55","55","40220","36370"
"In post","2021","Commercial","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Cambridgeshire CC","Outside London","55","55","36180","34800"
"In post","2021","Commercial","East Anglia","North and West Norfolk","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","Norwich and East Norfolk","Outside London","90","90","35650","34800"
"In post","2021","Commercial","East Anglia","Peterborough","Outside London","40","35","40690","36970"
"In post","2021","Commercial","East Anglia","Suffolk","Outside London","25","25","45450","44760"
"In post","2021","Commercial","East Wales","Cardiff and Vale of Glamorgan","Outside London","30","30","43540","40080"
"In post","2021","Commercial","East Wales","Flintshire and Wrexham","Outside London","25","25","33920","30800"
"In post","2021","Commercial","East Wales","Monmouthshire and Newport","Outside London","100","95","35580","31700"
"In post","2021","Commercial","East Wales","Powys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","10","10","42650","40870"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","City of Edinburgh","Outside London","55","50","36660","34190"
"In post","2021","Commercial","Eastern Scotland","Clackmannanshire and Fife","Outside London","10","10","31150","27750"
"In post","2021","Commercial","Eastern Scotland","Falkirk","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","Outside London","10","10","25280","25870"
"In post","2021","Commercial","Eastern Scotland","West Lothian","Outside London","10","10","33400","39500"
"In post","2021","Commercial","Essex","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1160","1115","39660","37400"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","80","75","39830","39230"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","180","170","33620","34800"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Outside London","75","70","39740","38630"
"In post","2021","Commercial","Greater Manchester","Manchester","Outside London","140","135","39510","36780"
"In post","2021","Commercial","Hampshire and Isle of Wight","Central Hampshire","Outside London","135","135","34720","34800"
"In post","2021","Commercial","Hampshire and Isle of Wight","Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Portsmouth","Outside London","60","60","36240","34770"
"In post","2021","Commercial","Hampshire and Isle of Wight","South Hampshire","Outside London","15","10","48680","42080"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Outside London","10","10","47580","48260"
"In post","2021","Commercial","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Lambeth","London","15","15","48180","48900"
"In post","2021","Commercial","Inner London - East","Tower Hamlets","London","55","55","44170","40400"
"In post","2021","Commercial","Inner London - West","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Westminster","London","565","555","50130","44070"
"In post","2021","Commercial","Kent","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Kent Thames Gateway","Outside London","10","5","[c]","[c]"
"In post","2021","Commercial","Kent","Medway","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Kent","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Chorley and West Lancashire","Outside London","15","15","46320","44760"
"In post","2021","Commercial","Lancashire","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Mid Lancashire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","15","15","38790","33840"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","20","15","42990","44010"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Lincolnshire","Outside London","20","20","42650","39040"
"In post","2021","Commercial","Merseyside","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Merseyside","Liverpool","Outside London","195","190","34520","34800"
"In post","2021","Commercial","Merseyside","Sefton","Outside London","15","15","40060","33050"
"In post","2021","Commercial","Merseyside","Wirral","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Aberdeen City and Aberdeenshire","Outside London","5","5","[c]","[c]"
