"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","20","20","43500","39580"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","185","180","39050","37070"
"In post","2021","Commercial","Cheshire","Outside London","25","20","40580","36970"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","15","15","38200","34030"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","75","70","43680","42490"
"In post","2021","Commercial","Devon","Outside London","220","215","42790","39790"
"In post","2021","Commercial","Dorset and Somerset","Outside London","70","65","42320","40430"
"In post","2021","Commercial","East Anglia","Outside London","220","215","38250","35730"
"In post","2021","Commercial","East Wales","Outside London","155","155","36670","33290"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","20","20","40870","37730"
"In post","2021","Commercial","Eastern Scotland","Outside London","90","85","33600","28410"
"In post","2021","Commercial","Essex","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1425","1365","38880","35900"
"In post","2021","Commercial","Greater Manchester","Outside London","220","210","39840","37920"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","220","210","36180","34800"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","42060","46780"
"In post","2021","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","London","75","75","45090","41190"
"In post","2021","Commercial","Inner London - West","London","575","560","50230","44480"
"In post","2021","Commercial","Kent","Outside London","20","20","45340","46550"
"In post","2021","Commercial","Lancashire","Outside London","30","30","46460","44760"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","40","40","41620","38150"
"In post","2021","Commercial","Lincolnshire","Outside London","20","20","42650","39040"
"In post","2021","Commercial","Merseyside","Outside London","230","220","36010","34800"
"In post","2021","Commercial","North Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Outside London","55","55","41100","38180"
"In post","2021","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Outside London","30","30","42090","40930"
"In post","2021","Commercial","Outer London - East and North East","London","10","10","50480","52150"
"In post","2021","Commercial","Outer London - South","London","150","145","43970","43420"
"In post","2021","Commercial","Outer London - West and North West","London","75","75","37840","32880"
"In post","2021","Commercial","Overseas","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Shropshire and Staffordshire","Outside London","100","95","39280","34800"
