"Status","Year","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","15","15","44730","40470"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","10","10","37890","31190"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","1160","1115","39660","37400"
"In post","2021","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","20","20","35720","37070"
"In post","2021","Commercial","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","65","65","39140","36740"
"In post","2021","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","80","75","39830","39230"
"In post","2021","Commercial","Buckinghamshire CC","55","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","55","55","36180","34800"
"In post","2021","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","30","30","43540","40080"
"In post","2021","Commercial","Central Bedfordshire","5","5","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","135","135","34720","34800"
"In post","2021","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","15","15","46320","44760"
"In post","2021","Commercial","City of Edinburgh","55","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","10","10","31150","27750"
"In post","2021","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","60","55","38450","37100"
"In post","2021","Commercial","Croydon","150","145","43970","43420"
"In post","2021","Commercial","Darlington","50","50","40700","37100"
"In post","2021","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","10","10","[c]","[c]"
"In post","2021","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","25","25","44780","42630"
"In post","2021","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","10","10","34280","30930"
"In post","2021","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","5","5","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","10","10","42650","40870"
"In post","2021","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","5","5","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","25","25","33920","30800"
"In post","2021","Commercial","Glasgow City","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","75","70","39740","38630"
"In post","2021","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","5","5","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","5","5","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","10","10","46300","40890"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","55","55","35920","28460"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","5","5","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","10","5","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","10","10","[c]","[c]"
"In post","2021","Commercial","Lambeth","15","15","48180","48900"
"In post","2021","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","180","175","40710","36820"
"In post","2021","Commercial","Leicester","15","15","38790","33840"
"In post","2021","Commercial","Leicestershire CC and Rutland","20","15","42990","44010"
"In post","2021","Commercial","Lincolnshire","20","20","42650","39040"
"In post","2021","Commercial","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","195","190","34520","34800"
"In post","2021","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","140","135","39510","36780"
"In post","2021","Commercial","Medway","5","5","[c]","[c]"
"In post","2021","Commercial","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","5","5","[c]","[c]"
"In post","2021","Commercial","Milton Keynes","75","75","43780","41160"
"In post","2021","Commercial","Monmouthshire and Newport","100","95","35580","31700"
"In post","2021","Commercial","North and West Norfolk","10","10","[c]","[c]"
"In post","2021","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","5","5","[c]","[c]"
"In post","2021","Commercial","North Nottinghamshire","5","5","[c]","[c]"
