"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Female","Heterosexual / straight","100","95","22240","21590"
"In post","2021","Commercial","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","Unknown","40","40","22900","22500"
"In post","2021","Commercial","AA/AO","Male","Heterosexual / straight","55","55","23370","21590"
"In post","2021","Commercial","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Male","Undeclared","20","15","[c]","[c]"
"In post","2021","Commercial","AA/AO","Male","Unknown","30","30","22290","21410"
"In post","2021","Commercial","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Female","Heterosexual / straight","310","285","25880","26410"
"In post","2021","Commercial","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Female","Undeclared","40","35","26200","26670"
"In post","2021","Commercial","EO","Female","Unknown","60","55","25720","25630"
"In post","2021","Commercial","EO","Male","Heterosexual / straight","205","200","26100","26350"
"In post","2021","Commercial","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","EO","Male","Unknown","40","40","25730","26310"
"In post","2021","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Female","Heterosexual / straight","325","315","59150","56260"
"In post","2021","Commercial","G6/G7","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","G6/G7","Female","Undeclared","35","30","60370","56690"
"In post","2021","Commercial","G6/G7","Female","Unknown","100","100","53470","52220"
"In post","2021","Commercial","G6/G7","Male","Heterosexual / straight","370","365","60920","59060"
"In post","2021","Commercial","G6/G7","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","G6/G7","Male","Undeclared","45","45","62760","62750"
"In post","2021","Commercial","G6/G7","Male","Unknown","115","115","55540","52460"
"In post","2021","Commercial","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Heterosexual / straight","30","30","94720","88770"
"In post","2021","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Unknown","15","10","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Heterosexual / straight","40","40","87020","82110"
"In post","2021","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Female","Heterosexual / straight","1210","1155","36990","36780"
"In post","2021","Commercial","SEO/HEO","Female","LGBO","35","35","35580","34490"
"In post","2021","Commercial","SEO/HEO","Female","Undeclared","150","140","37710","37400"
"In post","2021","Commercial","SEO/HEO","Female","Unknown","255","240","36160","36820"
"In post","2021","Commercial","SEO/HEO","Male","Heterosexual / straight","960","950","38790","38180"
"In post","2021","Commercial","SEO/HEO","Male","LGBO","60","60","35610","34800"
"In post","2021","Commercial","SEO/HEO","Male","Undeclared","135","135","39390","39850"
"In post","2021","Commercial","SEO/HEO","Male","Unknown","240","235","37810","37420"
"In post","2021","Commercial","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Heterosexual / straight","90","85","36740","33600"
"In post","2021","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Heterosexual / straight","75","75","41250","40000"
"In post","2021","Commercial","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Female","Heterosexual / straight","85","80","22390","21590"
"In post","2021","Communications","AA/AO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","AA/AO","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Communications","AA/AO","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","AA/AO","Male","Heterosexual / straight","70","70","22280","21580"
"In post","2021","Communications","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Communications","AA/AO","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Female","Heterosexual / straight","235","220","27330","26780"
