"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","3770","3645","40670","37400"
"In post","2021","Commercial","LGBO","165","165","37130","33390"
"In post","2021","Commercial","Undeclared","490","465","40010","37980"
"In post","2021","Commercial","Unknown","930","900","40240","38200"
"In post","2021","Communications","Heterosexual / straight","2575","2485","41540","38100"
"In post","2021","Communications","LGBO","200","200","41800","39670"
"In post","2021","Communications","Undeclared","310","295","38760","36980"
"In post","2021","Communications","Unknown","875","850","42510","38690"
"In post","2021","Corporate Finance","Heterosexual / straight","120","120","48390","46080"
"In post","2021","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","40","40","45450","42320"
"In post","2021","Counter Fraud","Heterosexual / straight","595","565","37520","34820"
"In post","2021","Counter Fraud","LGBO","35","35","36610","33100"
"In post","2021","Counter Fraud","Undeclared","60","55","35720","33740"
"In post","2021","Counter Fraud","Unknown","205","195","40720","39170"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","8285","8060","42300","38630"
"In post","2021","Digital, Data and Technology","LGBO","490","485","41280","37650"
"In post","2021","Digital, Data and Technology","Undeclared","1330","1290","41040","38630"
"In post","2021","Digital, Data and Technology","Unknown","3190","3120","40770","37940"
"In post","2021","Economics","Heterosexual / straight","1395","1365","47850","47180"
"In post","2021","Economics","LGBO","125","125","45790","38750"
"In post","2021","Economics","Undeclared","160","155","47330","45250"
"In post","2021","Economics","Unknown","480","475","45280","38600"
"In post","2021","Finance","Heterosexual / straight","6580","6270","40810","36970"
"In post","2021","Finance","LGBO","245","240","43660","40450"
"In post","2021","Finance","Undeclared","905","850","40380","37100"
"In post","2021","Finance","Unknown","1435","1355","37660","33530"
"In post","2021","Human Resources","Heterosexual / straight","6005","5685","39050","34490"
"In post","2021","Human Resources","LGBO","350","345","41070","36740"
"In post","2021","Human Resources","Undeclared","610","575","36570","33300"
"In post","2021","Human Resources","Unknown","900","860","36450","32730"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","725","705","66390","74730"
"In post","2021","Inspector of Education and Training","LGBO","50","50","69920","75500"
