"Status","Year","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","12290","11385","30970","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","6250","5715","27410","26220"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","2830","2665","28120","26750"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","4540","4255","32470","29290"
"In post","2021","East of England","East Anglia","Outside London","12460","11595","30130","27570"
"In post","2021","East of England","Essex","Outside London","5595","5135","30790","29290"
"In post","2021","London","Inner London - East","London","17200","16380","42040","36160"
"In post","2021","London","Inner London - West","London","61145","59485","47030","41950"
"In post","2021","London","Outer London - East and North East","London","3785","3535","30650","31060"
"In post","2021","London","Outer London - South","London","10740","10180","37520","32520"
"In post","2021","London","Outer London - West and North West","London","9060","8420","33270","31060"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Outside London","21370","19130","28300","25560"
"In post","2021","North East (England)","Tees Valley and Durham","Outside London","9240","8375","27900","26300"
"In post","2021","North West (England)","Cheshire","Outside London","3900","3685","31290","28840"
"In post","2021","North West (England)","Cumbria","Outside London","2140","1950","27990","25100"
"In post","2021","North West (England)","Greater Manchester","Outside London","19715","18500","30950","27570"
"In post","2021","North West (England)","Lancashire","Outside London","14110","12820","28250","27570"
"In post","2021","North West (England)","Merseyside","Outside London","19480","17760","28680","25560"
"In post","2021","Northern Ireland","Northern Ireland","Outside London","3815","3590","27990","25560"
"In post","2021","Overseas","Overseas","Overseas","3755","3740","49990","49760"
"In post","2021","Scotland","Eastern Scotland","Outside London","19840","18650","34310","29350"
"In post","2021","Scotland","Highlands and Islands","Outside London","1955","1825","28800","27570"
"In post","2021","Scotland","North Eastern Scotland","Outside London","1865","1755","36180","30650"
"In post","2021","Scotland","Southern Scotland","Outside London","6020","5440","29430","26530"
"In post","2021","Scotland","West Central Scotland","Outside London","17915","16555","30640","27570"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","9590","9125","32900","29650"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Outside London","15355","14170","32110","28430"
"In post","2021","South East (England)","Kent","Outside London","8525","7965","29630","28300"
"In post","2021","South East (England)","Surrey, East and West Sussex","Outside London","8305","7605","30540","27570"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Outside London","1645","1500","26590","26670"
"In post","2021","South West (England)","Devon","Outside London","9020","8290","31290","27570"
"In post","2021","South West (England)","Dorset and Somerset","Outside London","5210","4840","29650","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","29310","27830","36460","33300"
"In post","2021","Unknown","Unknown","Unknown","3730","3645","35670","32100"
"In post","2021","Wales","East Wales","Outside London","20380","19060","32530","27680"
"In post","2021","Wales","West Wales and The Valleys","Outside London","15710","14200","28660","26350"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","3985","3730","28020","26470"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Outside London","8305","7740","29870","27570"
"In post","2021","West Midlands (England)","West Midlands","Outside London","18205","16805","30810","27570"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","4705","4305","27870","26930"
"In post","2021","Yorkshire and The Humber","North Yorkshire","Outside London","4725","4470","33500","29200"
"In post","2021","Yorkshire and The Humber","South Yorkshire","Outside London","9930","9070","31380","27570"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Outside London","17250","15970","31400","27570"
"Leaver CS","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","630","[c]","27100","24000"
"Leaver CS","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","640","[c]","25920","21950"
"Leaver CS","2021","East Midlands (England)","Lincolnshire","Outside London","325","[c]","29040","28000"
"Leaver CS","2021","East of England","Bedfordshire and Hertfordshire","Outside London","470","[c]","30260","26590"
"Leaver CS","2021","East of England","East Anglia","Outside London","990","[c]","30560","26890"
"Leaver CS","2021","East of England","Essex","Outside London","340","[c]","29210","26350"
"Leaver CS","2021","London","Inner London - East","London","1020","[c]","41730","33870"
"Leaver CS","2021","London","Inner London - West","London","3080","[c]","44030","37030"
"Leaver CS","2021","London","Outer London - East and North East","London","225","[c]","29380","31060"
"Leaver CS","2021","London","Outer London - South","London","440","[c]","34990","30060"
"Leaver CS","2021","London","Outer London - West and North West","London","560","[c]","33200","31060"
"Leaver CS","2021","North East (England)","Northumberland and Tyne and Wear","Outside London","1065","[c]","26470","21010"
"Leaver CS","2021","North East (England)","Tees Valley and Durham","Outside London","615","[c]","27260","22350"
"Leaver CS","2021","North West (England)","Cheshire","Outside London","200","[c]","28240","26000"
"Leaver CS","2021","North West (England)","Cumbria","Outside London","120","[c]","26280","21050"
"Leaver CS","2021","North West (England)","Greater Manchester","Outside London","960","[c]","30080","26000"
"Leaver CS","2021","North West (England)","Lancashire","Outside London","720","[c]","26280","21010"
"Leaver CS","2021","North West (England)","Merseyside","Outside London","770","[c]","27640","24110"
"Leaver CS","2021","Northern Ireland","Northern Ireland","Outside London","205","[c]","27470","21850"
"Leaver CS","2021","Overseas","Overseas","Overseas","135","[c]","42070","38290"
"Leaver CS","2021","Scotland","Eastern Scotland","Outside London","1115","[c]","34390","28910"
"Leaver CS","2021","Scotland","Highlands and Islands","Outside London","95","[c]","28640","25870"
"Leaver CS","2021","Scotland","North Eastern Scotland","Outside London","150","[c]","35030","27570"
"Leaver CS","2021","Scotland","Southern Scotland","Outside London","260","[c]","29770","27150"
"Leaver CS","2021","Scotland","West Central Scotland","Outside London","710","[c]","30340","26750"
"Leaver CS","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","720","[c]","31830","28550"
"Leaver CS","2021","South East (England)","Hampshire and Isle of Wight","Outside London","860","[c]","29770","26670"
"Leaver CS","2021","South East (England)","Kent","Outside London","555","[c]","26770","25110"
"Leaver CS","2021","South East (England)","Surrey, East and West Sussex","Outside London","550","[c]","29780","26080"
"Leaver CS","2021","South West (England)","Cornwall and Isles of Scilly","Outside London","95","[c]","27030","24670"
"Leaver CS","2021","South West (England)","Devon","Outside London","610","[c]","26480","21580"
"Leaver CS","2021","South West (England)","Dorset and Somerset","Outside London","345","[c]","29280","27130"
"Leaver CS","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1410","[c]","34540","30020"
"Leaver CS","2021","Unknown","Unknown","Unknown","695","[c]","40470","32000"
"Leaver CS","2021","Wales","East Wales","Outside London","1185","[c]","32570","26930"
"Leaver CS","2021","Wales","West Wales and The Valleys","Outside London","780","[c]","26320","21590"
"Leaver CS","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","265","[c]","24650","22220"
"Leaver CS","2021","West Midlands (England)","Shropshire and Staffordshire","Outside London","505","[c]","27790","26000"
"Leaver CS","2021","West Midlands (England)","West Midlands","Outside London","1095","[c]","32130","26120"
"Leaver CS","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","455","[c]","27920","26930"
"Leaver CS","2021","Yorkshire and The Humber","North Yorkshire","Outside London","255","[c]","33880","27570"
"Leaver CS","2021","Yorkshire and The Humber","South Yorkshire","Outside London","640","[c]","29060","25000"
"Leaver CS","2021","Yorkshire and The Humber","West Yorkshire","Outside London","975","[c]","29680","26890"
"Leaver Dept.","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","190","[c]","28260","24000"
"Leaver Dept.","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","65","[c]","23000","21010"
