"Status","Year","Region_ITL1","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Outside London","Heterosexual / straight","640","575","27020","26470"
"In post","2021","East Midlands (England)","Derby","Outside London","LGBO","30","30","27610","27160"
"In post","2021","East Midlands (England)","Derby","Outside London","Undeclared","105","90","27590","21010"
"In post","2021","East Midlands (England)","Derby","Outside London","Unknown","240","205","24280","21010"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","Heterosexual / straight","280","245","26650","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","Undeclared","35","30","26510","26120"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","Unknown","60","50","27040","27570"
"In post","2021","East Midlands (England)","Leicester","Outside London","Heterosexual / straight","1620","1475","27340","25560"
"In post","2021","East Midlands (England)","Leicester","Outside London","LGBO","90","85","28200","27570"
"In post","2021","East Midlands (England)","Leicester","Outside London","Undeclared","235","210","27090","25560"
"In post","2021","East Midlands (England)","Leicester","Outside London","Unknown","675","595","25450","22350"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Heterosexual / straight","1445","1355","29260","26810"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","LGBO","65","65","28220","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Undeclared","195","180","29130","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Unknown","320","295","28530","26700"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","Heterosexual / straight","2110","1995","27970","26670"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","LGBO","80","80","27340","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","Undeclared","300","280","29250","26780"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","Unknown","340","310","28230","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","Heterosexual / straight","345","305","25840","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","Undeclared","40","35","26010","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","Unknown","105","95","24740","22920"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","Heterosexual / straight","685","650","29380","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","LGBO","35","35","27840","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","Undeclared","80","75","30430","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","Unknown","185","170","26770","27150"
"In post","2021","East Midlands (England)","Nottingham","Outside London","Heterosexual / straight","4950","4625","32760","28130"
"In post","2021","East Midlands (England)","Nottingham","Outside London","LGBO","320","310","31210","27570"
"In post","2021","East Midlands (England)","Nottingham","Outside London","Undeclared","685","630","31720","28200"
"In post","2021","East Midlands (England)","Nottingham","Outside London","Unknown","1995","1870","29450","26290"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","Heterosexual / straight","770","705","32620","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","LGBO","50","50","29750","27880"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","Undeclared","130","115","37760","31990"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","Unknown","205","180","31470","27690"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","Heterosexual / straight","545","515","30800","27570"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","Undeclared","90","80","29400","27570"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","Unknown","120","110","29480","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","Heterosexual / straight","745","680","26710","24440"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","LGBO","55","50","27060","24920"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","Undeclared","125","110","26880","24440"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","Unknown","180","165","25020","23970"
"In post","2021","East of England","Bedford","Outside London","Heterosexual / straight","570","540","30600","28500"
"In post","2021","East of England","Bedford","Outside London","LGBO","35","35","28910","28200"
"In post","2021","East of England","Bedford","Outside London","Undeclared","80","75","31590","30400"
"In post","2021","East of England","Bedford","Outside London","Unknown","150","135","28340","27700"
"In post","2021","East of England","Breckland and South Norfolk","Outside London","Heterosexual / straight","380","365","28770","26830"
"In post","2021","East of England","Breckland and South Norfolk","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Outside London","Unknown","95","85","27950","26580"
