"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Female","Heterosexual / straight","2870","2490","21140","21010"
"In post","2021","East Midlands (England)","AA/AO","Female","LGBO","165","160","23130","21140"
"In post","2021","East Midlands (England)","AA/AO","Female","Undeclared","420","355","21330","21010"
"In post","2021","East Midlands (England)","AA/AO","Female","Unknown","1025","870","21330","21010"
"In post","2021","East Midlands (England)","AA/AO","Male","Heterosexual / straight","2240","2165","23180","21550"
"In post","2021","East Midlands (England)","AA/AO","Male","LGBO","115","110","22560","21010"
"In post","2021","East Midlands (England)","AA/AO","Male","Undeclared","280","260","23000","21010"
"In post","2021","East Midlands (England)","AA/AO","Male","Unknown","890","840","22870","21010"
"In post","2021","East Midlands (England)","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Female","Heterosexual / straight","2280","2045","26770","27570"
"In post","2021","East Midlands (England)","EO","Female","LGBO","135","130","26890","27570"
"In post","2021","East Midlands (England)","EO","Female","Undeclared","335","290","26890","27570"
"In post","2021","East Midlands (England)","EO","Female","Unknown","750","655","26870","27570"
"In post","2021","East Midlands (England)","EO","Male","Heterosexual / straight","1635","1590","27420","27570"
"In post","2021","East Midlands (England)","EO","Male","LGBO","125","120","26850","27570"
"In post","2021","East Midlands (England)","EO","Male","Undeclared","265","245","27500","27380"
"In post","2021","East Midlands (England)","EO","Male","Unknown","595","570","27260","27380"
"In post","2021","East Midlands (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Female","Heterosexual / straight","510","480","56410","53000"
"In post","2021","East Midlands (England)","G6/G7","Female","LGBO","25","25","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Female","Undeclared","60","55","56220","52770"
"In post","2021","East Midlands (England)","G6/G7","Female","Unknown","115","105","56950","54000"
"In post","2021","East Midlands (England)","G6/G7","Male","Heterosexual / straight","505","490","58550","53570"
"In post","2021","East Midlands (England)","G6/G7","Male","LGBO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Male","Undeclared","65","65","59710","56740"
"In post","2021","East Midlands (England)","G6/G7","Male","Unknown","110","105","57570","52770"
"In post","2021","East Midlands (England)","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Female","Heterosexual / straight","35","35","87180","78900"
"In post","2021","East Midlands (England)","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Male","Heterosexual / straight","35","35","91420","87770"
"In post","2021","East Midlands (England)","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Female","Heterosexual / straight","1745","1620","35580","33840"
"In post","2021","East Midlands (England)","SEO/HEO","Female","LGBO","80","80","36320","33860"
"In post","2021","East Midlands (England)","SEO/HEO","Female","Undeclared","240","225","36140","34390"
"In post","2021","East Midlands (England)","SEO/HEO","Female","Unknown","440","410","34450","32100"
"In post","2021","East Midlands (England)","SEO/HEO","Male","Heterosexual / straight","1495","1455","36460","35000"
"In post","2021","East Midlands (England)","SEO/HEO","Male","LGBO","70","65","35420","32250"
"In post","2021","East Midlands (England)","SEO/HEO","Male","Undeclared","250","240","37320","35480"
"In post","2021","East Midlands (England)","SEO/HEO","Male","Unknown","420","405","35250","33000"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Female","Heterosexual / straight","630","570","29240","28200"
"In post","2021","East Midlands (England)","Unknown","Female","LGBO","30","30","30370","30880"
"In post","2021","East Midlands (England)","Unknown","Female","Undeclared","60","55","30440","31150"
"In post","2021","East Midlands (England)","Unknown","Female","Unknown","55","50","26840","24800"
"In post","2021","East Midlands (England)","Unknown","Male","Heterosexual / straight","155","150","33430","33030"
"In post","2021","East Midlands (England)","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Male","Undeclared","35","30","33140","32710"
"In post","2021","East Midlands (England)","Unknown","Male","Unknown","25","20","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Female","Heterosexual / straight","2820","2485","22220","21430"
"In post","2021","East of England","AA/AO","Female","LGBO","170","165","24270","22850"
"In post","2021","East of England","AA/AO","Female","Undeclared","385","335","22200","21430"
"In post","2021","East of England","AA/AO","Female","Unknown","790","670","22560","21430"
"In post","2021","East of England","AA/AO","Male","Heterosexual / straight","2475","2400","25040","22850"
"In post","2021","East of England","AA/AO","Male","LGBO","105","100","23940","21720"
"In post","2021","East of England","AA/AO","Male","Undeclared","300","290","25060","21580"
"In post","2021","East of England","AA/AO","Male","Unknown","780","735","25080","22980"
"In post","2021","East of England","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Female","Heterosexual / straight","2855","2570","27890","27570"
"In post","2021","East of England","EO","Female","LGBO","125","115","28180","27570"
"In post","2021","East of England","EO","Female","Undeclared","345","310","28110","27570"
"In post","2021","East of England","EO","Female","Unknown","715","615","28060","27570"
"In post","2021","East of England","EO","Male","Heterosexual / straight","2135","2030","28620","27570"
"In post","2021","East of England","EO","Male","LGBO","130","125","27920","27570"
"In post","2021","East of England","EO","Male","Undeclared","355","335","28610","27570"
"In post","2021","East of England","EO","Male","Unknown","515","500","28680","27570"
"In post","2021","East of England","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Female","Heterosexual / straight","445","420","58760","55110"
"In post","2021","East of England","G6/G7","Female","LGBO","15","15","[c]","[c]"
"In post","2021","East of England","G6/G7","Female","Undeclared","55","50","55480","53500"
"In post","2021","East of England","G6/G7","Female","Unknown","140","130","57550","55120"
"In post","2021","East of England","G6/G7","Male","Heterosexual / straight","465","455","60160","57130"
"In post","2021","East of England","G6/G7","Male","LGBO","10","10","[c]","[c]"
"In post","2021","East of England","G6/G7","Male","Undeclared","60","60","61970","57820"
"In post","2021","East of England","G6/G7","Male","Unknown","145","145","56880","53860"
"In post","2021","East of England","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Female","Heterosexual / straight","30","30","93600","91000"
"In post","2021","East of England","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2021","East of England","SCS level","Male","Heterosexual / straight","55","55","96090","96700"
"In post","2021","East of England","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","East of England","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Female","Heterosexual / straight","1725","1620","36410","35000"
"In post","2021","East of England","SEO/HEO","Female","LGBO","65","65","36210","35300"
"In post","2021","East of England","SEO/HEO","Female","Undeclared","255","235","36540","35480"
"In post","2021","East of England","SEO/HEO","Female","Unknown","405","375","35630","35120"
"In post","2021","East of England","SEO/HEO","Male","Heterosexual / straight","1810","1755","37350","36030"
"In post","2021","East of England","SEO/HEO","Male","LGBO","75","70","36110","35000"
"In post","2021","East of England","SEO/HEO","Male","Undeclared","340","330","37630","35440"
"In post","2021","East of England","SEO/HEO","Male","Unknown","410","395","36120","35000"
"In post","2021","East of England","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Female","Heterosexual / straight","645","590","28720","28200"
"In post","2021","East of England","Unknown","Female","LGBO","35","30","27450","24020"
"In post","2021","East of England","Unknown","Female","Undeclared","55","45","29320","28200"
"In post","2021","East of England","Unknown","Female","Unknown","75","65","24510","22920"
