"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA","245","230","20400","20560"
"In post","2021","Bedfordshire and Hertfordshire","AO","1020","950","25390","24180"
"In post","2021","Bedfordshire and Hertfordshire","EO","1610","1485","29030","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6","65","65","71620","69800"
"In post","2021","Bedfordshire and Hertfordshire","G7","260","245","57450","55390"
"In post","2021","Bedfordshire and Hertfordshire","HEO","620","595","35480","35150"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","30","30","88510","88300"
"In post","2021","Bedfordshire and Hertfordshire","SEO","395","380","43610","43710"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","295","275","28030","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA","610","580","20300","19560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AO","2970","2835","26650","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","2415","2295","29280","27900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6","175","170","70890","68140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G7","590","545","56760","54540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HEO","1350","1285","34820","34290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","60","55","94980","92090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO","935","895","43200","42000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","490","460","29860","28200"
"In post","2021","Cheshire","AA","155","140","20170","20600"
"In post","2021","Cheshire","AO","1055","965","23590","21050"
"In post","2021","Cheshire","EO","1435","1365","29550","27570"
"In post","2021","Cheshire","G6","45","45","69800","66530"
"In post","2021","Cheshire","G7","160","155","53500","52470"
"In post","2021","Cheshire","HEO","555","535","36710","36740"
"In post","2021","Cheshire","SCS level","10","10","84340","76720"
"In post","2021","Cheshire","SEO","290","280","44610","45480"
"In post","2021","Cheshire","Unknown","195","180","29400","28970"
"In post","2021","Cornwall and Isles of Scilly","AA","110","100","18970","19560"
"In post","2021","Cornwall and Isles of Scilly","AO","600","535","21210","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","G6","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G7","45","40","58440","53970"
"In post","2021","Cornwall and Isles of Scilly","HEO","150","140","33270","33300"
"In post","2021","Cornwall and Isles of Scilly","SEO","65","65","40930","40580"
"In post","2021","Cornwall and Isles of Scilly","Unknown","50","45","29330","28200"
"In post","2021","Cumbria","AA","90","80","19830","20060"
"In post","2021","Cumbria","AO","840","745","22170","21050"
"In post","2021","Cumbria","EO","575","525","26150","26330"
"In post","2021","Cumbria","G6","15","15","61000","59980"
"In post","2021","Cumbria","G7","60","60","52250","50540"
"In post","2021","Cumbria","HEO","185","175","31330","30700"
"In post","2021","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO","130","125","39870","37320"
"In post","2021","Cumbria","Unknown","240","230","37820","34830"
"In post","2021","Derbyshire and Nottinghamshire","AA","375","345","19760","20600"
"In post","2021","Derbyshire and Nottinghamshire","AO","3415","3095","22360","21010"
"In post","2021","Derbyshire and Nottinghamshire","EO","3545","3260","26740","27380"
"In post","2021","Derbyshire and Nottinghamshire","G6","240","230","67660","64670"
"In post","2021","Derbyshire and Nottinghamshire","G7","900","860","54470","52580"
"In post","2021","Derbyshire and Nottinghamshire","HEO","2015","1915","32210","31810"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","75","75","90770","84340"
"In post","2021","Derbyshire and Nottinghamshire","SEO","1215","1150","40980","39330"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","505","460","30010","30210"
"In post","2021","Devon","AA","540","500","19490","19560"
"In post","2021","Devon","AO","2550","2260","22950","21050"
"In post","2021","Devon","EO","2345","2145","27020","27570"
"In post","2021","Devon","G6","210","195","63720","61070"
"In post","2021","Devon","G7","625","595","52040","49170"
"In post","2021","Devon","HEO","1265","1190","34090","33300"
"In post","2021","Devon","SCS level","30","30","95170","94070"
"In post","2021","Devon","SEO","1140","1080","41590","40580"
"In post","2021","Devon","Unknown","310","295","33880","32100"
"In post","2021","Dorset and Somerset","AA","365","345","19550","19560"
"In post","2021","Dorset and Somerset","AO","1355","1260","23210","21300"
"In post","2021","Dorset and Somerset","EO","1615","1470","27360","27570"
"In post","2021","Dorset and Somerset","G6","45","45","68030","67250"
"In post","2021","Dorset and Somerset","G7","155","145","56440","53720"
"In post","2021","Dorset and Somerset","HEO","920","870","33370","33290"
"In post","2021","Dorset and Somerset","SCS level","10","10","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO","515","490","42360","42510"
"In post","2021","Dorset and Somerset","Unknown","230","205","28340","28200"
"In post","2021","East Anglia","AA","935","870","19790","20440"
"In post","2021","East Anglia","AO","4020","3675","24200","21580"
"In post","2021","East Anglia","EO","3290","3040","27520","27570"
"In post","2021","East Anglia","G6","165","160","68590","64670"
"In post","2021","East Anglia","G7","565","540","55530","53150"
"In post","2021","East Anglia","HEO","1870","1785","32740","33000"
"In post","2021","East Anglia","SCS level","65","60","98590","92370"
"In post","2021","East Anglia","SEO","1060","1015","41950","40580"
"In post","2021","East Anglia","Unknown","490","450","29500","30210"
"In post","2021","East Wales","AA","445","415","19350","19560"
"In post","2021","East Wales","AO","5290","4770","21590","21010"
"In post","2021","East Wales","EO","5505","5140","26710","27170"
"In post","2021","East Wales","G6","490","470","67910","66440"
"In post","2021","East Wales","G7","1920","1840","55110","55320"
"In post","2021","East Wales","HEO","3550","3380","32740","31810"
"In post","2021","East Wales","SCS level","260","255","87370","79280"
"In post","2021","East Wales","SEO","2430","2335","41260","39820"
"In post","2021","East Wales","Unknown","485","460","30050","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA","290","270","20580","20600"
"In post","2021","East Yorkshire and Northern Lincolnshire","AO","1835","1655","24450","22850"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","1665","1525","27750","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6","10","10","77490","72360"
"In post","2021","East Yorkshire and Northern Lincolnshire","G7","75","70","58260","55950"
"In post","2021","East Yorkshire and Northern Lincolnshire","HEO","410","380","33650","33640"
"In post","2021","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO","165","155","44950","43470"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","255","230","29930","30210"
"In post","2021","Eastern Scotland","AA","1090","1015","21020","20810"
"In post","2021","Eastern Scotland","AO","5155","4765","22230","21010"
"In post","2021","Eastern Scotland","EO","5190","4855","28820","27570"
"In post","2021","Eastern Scotland","G6","890","850","71250","73280"
"In post","2021","Eastern Scotland","G7","1675","1595","56740","56120"
"In post","2021","Eastern Scotland","HEO","3140","3005","34130","33620"
"In post","2021","Eastern Scotland","SCS level","215","210","90690","83230"
"In post","2021","Eastern Scotland","SEO","2450","2325","43720","43940"
"In post","2021","Eastern Scotland","Unknown","30","30","40730","40970"
"In post","2021","Essex","AA","185","170","19290","19560"
"In post","2021","Essex","AO","1425","1290","24300","22980"
"In post","2021","Essex","EO","2275","2080","28700","29290"
"In post","2021","Essex","G6","60","55","71040","64670"
"In post","2021","Essex","G7","230","220","55800","52580"
"In post","2021","Essex","HEO","735","685","34130","33000"
"In post","2021","Essex","SCS level","30","25","96810","99910"
"In post","2021","Essex","SEO","410","385","41440","38700"
"In post","2021","Essex","Unknown","245","225","27880","24800"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA","615","590","19360","19560"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AO","3260","3000","22670","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5995","5590","25950","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6","1245","1180","67200","66430"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G7","3865","3735","52550","52580"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","6295","6010","31730","31990"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","305","295","96380","90530"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","5825","5600","40630","40580"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1910","1830","39200","36500"
"In post","2021","Greater Manchester","AA","480","435","19400","20070"
"In post","2021","Greater Manchester","AO","5230","4730","21460","21010"
"In post","2021","Greater Manchester","EO","5800","5455","26560","27280"
"In post","2021","Greater Manchester","G6","535","520","66680","64670"
"In post","2021","Greater Manchester","G7","1560","1510","53270","52580"
"In post","2021","Greater Manchester","HEO","3190","3060","31920","31810"
"In post","2021","Greater Manchester","SCS level","140","135","86860","81150"
"In post","2021","Greater Manchester","SEO","2030","1955","39180","38630"
"In post","2021","Greater Manchester","Unknown","755","705","29800","30210"
"In post","2021","Hampshire and Isle of Wight","AA","1145","950","19530","19560"
"In post","2021","Hampshire and Isle of Wight","AO","3520","3045","22930","21010"
"In post","2021","Hampshire and Isle of Wight","EO","3745","3505","26990","26700"
"In post","2021","Hampshire and Isle of Wight","G6","280","270","68650","66300"
"In post","2021","Hampshire and Isle of Wight","G7","1580","1520","53680","52580"
"In post","2021","Hampshire and Isle of Wight","HEO","2780","2670","32540","33260"
"In post","2021","Hampshire and Isle of Wight","SCS level","90","85","87410","83070"
"In post","2021","Hampshire and Isle of Wight","SEO","1860","1795","40310","40080"
"In post","2021","Hampshire and Isle of Wight","Unknown","355","325","32850","31420"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","AA","310","290","19800","20600"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","AO","1515","1405","23840","21430"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","EO","1090","1020","27130","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","G6","25","25","65550","61710"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","G7","75","70","56140","50660"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","HEO","410","395","32730","31990"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","SCS level","15","10","87860","77480"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","SEO","250","235","43070","40890"
