"Status","Year","Region_ITL3","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Female","290","255","22740","22160"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA/AO","Male","255","250","28160","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Female","315","285","28410","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Male","280","275","30280","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Female","55","55","62970","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6/G7","Male","75","70","69230","61850"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Female","265","250","40830","36620"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","Male","325","315","50250","41090"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","Female","635","560","21160","21010"
"In post","2021","Angus and Dundee City","Outside London","AA/AO","Male","470","455","21050","21010"
"In post","2021","Angus and Dundee City","Outside London","EO","Female","335","295","27440","27570"
"In post","2021","Angus and Dundee City","Outside London","EO","Male","160","155","27410","27570"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","Female","40","40","61640","61010"
"In post","2021","Angus and Dundee City","Outside London","G6/G7","Male","30","30","61890","61010"
"In post","2021","Angus and Dundee City","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","Female","150","145","37120","35000"
"In post","2021","Angus and Dundee City","Outside London","SEO/HEO","Male","80","75","36390","33950"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","Female","40","40","20810","20310"
"In post","2021","Antrim and Newtownabbey","Outside London","AA/AO","Male","110","110","20640","20310"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","Female","5","5","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
