"Status","Year","Region_ITL3","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Female","Heterosexual / straight","125","110","22940","21590"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Female","Undeclared","55","50","21580","21010"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Female","Unknown","100","90","23170","22230"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Male","Heterosexual / straight","125","120","29020","26530"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Male","Undeclared","35","30","30570","22820"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Male","Unknown","95","95","26450","25870"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Female","Heterosexual / straight","195","175","27950","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Female","Unknown","80","75","29510","28410"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Male","Heterosexual / straight","165","160","29740","28170"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Male","Undeclared","30","30","30160","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Male","Unknown","70","70","31860","33650"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Female","Heterosexual / straight","45","40","62890","61010"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Male","Heterosexual / straight","50","45","70490","65420"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Female","Heterosexual / straight","190","175","41030","36740"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Female","Undeclared","20","20","[c]","[c]"
