"Status","Year","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","86155","77905","22460","21100"
"In post","2021","AA/AO","LGBO","4910","4695","22760","21050"
"In post","2021","AA/AO","Undeclared","12675","11175","22440","21160"
"In post","2021","AA/AO","Unknown","36925","32825","22440","21010"
"In post","2021","EO","Heterosexual / straight","85265","79225","27690","27570"
"In post","2021","EO","LGBO","4975","4815","27640","27570"
"In post","2021","EO","Undeclared","11930","10905","27960","27570"
"In post","2021","EO","Unknown","26720","24510","27860","27570"
"In post","2021","G6/G7","Heterosexual / straight","41990","40485","58790","57110"
"In post","2021","G6/G7","LGBO","2780","2730","58550","56570"
"In post","2021","G6/G7","Undeclared","5320","5130","59520","57540"
"In post","2021","G6/G7","Unknown","12335","11830","58600","56350"
"In post","2021","SCS level","Heterosexual / straight","4900","4740","90230","82500"
"In post","2021","SCS level","LGBO","340","330","87540","79380"
"In post","2021","SCS level","Undeclared","485","460","89420","82130"
"In post","2021","SCS level","Unknown","1570","1525","92460","83040"
"In post","2021","SEO/HEO","Heterosexual / straight","87045","83540","36910","36160"
"In post","2021","SEO/HEO","LGBO","5165","5075","36150","35110"
"In post","2021","SEO/HEO","Undeclared","12030","11485","37450","36620"
"In post","2021","SEO/HEO","Unknown","24795","23850","36170","35120"
"In post","2021","Unknown","Heterosexual / straight","11625","10870","31830","30210"
"In post","2021","Unknown","LGBO","655","630","29690","28200"
"In post","2021","Unknown","Undeclared","1235","1155","34720","33820"
"In post","2021","Unknown","Unknown","3060","2945","34210","32700"
"Leaver CS","2021","AA/AO","Heterosexual / straight","5210","[c]","21300","21010"
"Leaver CS","2021","AA/AO","LGBO","340","[c]","21010","21010"
"Leaver CS","2021","AA/AO","Undeclared","760","[c]","21500","21010"
"Leaver CS","2021","AA/AO","Unknown","5600","[c]","21100","21010"
"Leaver CS","2021","EO","Heterosexual / straight","2670","[c]","27330","27570"
"Leaver CS","2021","EO","LGBO","160","[c]","27270","27570"
"Leaver CS","2021","EO","Undeclared","465","[c]","27860","27570"
"Leaver CS","2021","EO","Unknown","2885","[c]","27370","27570"
"Leaver CS","2021","G6/G7","Heterosexual / straight","1185","[c]","60550","58230"
"Leaver CS","2021","G6/G7","LGBO","75","[c]","59710","58190"
"Leaver CS","2021","G6/G7","Undeclared","205","[c]","62290","59740"
"Leaver CS","2021","G6/G7","Unknown","1030","[c]","60380","57940"
"Leaver CS","2021","SCS level","Heterosexual / straight","235","[c]","97670","93400"
"Leaver CS","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Unknown","180","[c]","99050","90000"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","2585","[c]","37240","36560"
"Leaver CS","2021","SEO/HEO","LGBO","135","[c]","36770","36780"
"Leaver CS","2021","SEO/HEO","Undeclared","470","[c]","38390","37320"
"Leaver CS","2021","SEO/HEO","Unknown","2345","[c]","36380","35660"
"Leaver CS","2021","Unknown","Heterosexual / straight","520","[c]","38260","36030"
"Leaver CS","2021","Unknown","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","65","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","640","[c]","34740","32400"
"Leaver Dept.","2021","AA/AO","Heterosexual / straight","900","[c]","21120","21010"
"Leaver Dept.","2021","AA/AO","LGBO","80","[c]","20910","21010"
"Leaver Dept.","2021","AA/AO","Undeclared","105","[c]","21510","21010"
"Leaver Dept.","2021","AA/AO","Unknown","1060","[c]","20920","21010"
"Leaver Dept.","2021","EO","Heterosexual / straight","1345","[c]","26720","27570"
"Leaver Dept.","2021","EO","LGBO","125","[c]","26510","27240"
"Leaver Dept.","2021","EO","Undeclared","145","[c]","27280","27570"
"Leaver Dept.","2021","EO","Unknown","790","[c]","27280","27570"
"Leaver Dept.","2021","G6/G7","Heterosexual / straight","1200","[c]","57450","55650"
"Leaver Dept.","2021","G6/G7","LGBO","110","[c]","55260","53760"
"Leaver Dept.","2021","G6/G7","Undeclared","170","[c]","58260","56150"
"Leaver Dept.","2021","G6/G7","Unknown","825","[c]","56350","54470"
"Leaver Dept.","2021","SCS level","Heterosexual / straight","190","[c]","88740","80000"
"Leaver Dept.","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Unknown","120","[c]","84510","77080"
"Leaver Dept.","2021","SEO/HEO","Heterosexual / straight","2270","[c]","35400","34250"
"Leaver Dept.","2021","SEO/HEO","LGBO","240","[c]","34910","34090"
"Leaver Dept.","2021","SEO/HEO","Undeclared","245","[c]","36730","36630"
"Leaver Dept.","2021","SEO/HEO","Unknown","1805","[c]","34400","33120"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","95","[c]","[c]","[c]"
