"Status","Year","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA","Female","Heterosexual / straight","5550","4800","19700","19560"
"In post","2021","AA","Female","LGBO","380","365","20310","20600"
"In post","2021","AA","Female","Undeclared","1045","825","19290","18850"
"In post","2021","AA","Female","Unknown","2280","1930","20310","20230"
"In post","2021","AA","Male","Heterosexual / straight","6345","6065","20000","19560"
"In post","2021","AA","Male","LGBO","250","240","19850","20060"
"In post","2021","AA","Male","Undeclared","930","870","19810","20060"
"In post","2021","AA","Male","Unknown","2320","2180","20550","20600"
"In post","2021","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AO","Female","Heterosexual / straight","43235","37215","21960","21050"
"In post","2021","AO","Female","LGBO","2280","2160","23520","21490"
"In post","2021","AO","Female","Undeclared","6435","5435","22100","21430"
"In post","2021","AO","Female","Unknown","18130","15220","21880","21010"
"In post","2021","AO","Male","Heterosexual / straight","31020","29830","24150","21590"
"In post","2021","AO","Male","LGBO","1995","1925","22720","21010"
"In post","2021","AO","Male","Undeclared","4260","4050","24310","21580"
"In post","2021","AO","Male","Unknown","14200","13495","23810","21440"
"In post","2021","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Heterosexual / straight","49710","44875","27480","27570"
"In post","2021","EO","Female","LGBO","2405","2310","27640","27570"
"In post","2021","EO","Female","Undeclared","6420","5680","27720","27570"
"In post","2021","EO","Female","Unknown","14920","13175","27640","27570"
"In post","2021","EO","Male","Heterosexual / straight","35545","34345","27990","27570"
"In post","2021","EO","Male","LGBO","2565","2505","27640","27570"
"In post","2021","EO","Male","Undeclared","5510","5220","28230","27570"
"In post","2021","EO","Male","Unknown","11805","11335","28130","27570"
"In post","2021","EO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6","Female","Heterosexual / straight","5355","5080","68010","66440"
"In post","2021","G6","Female","LGBO","240","235","68160","66330"
"In post","2021","G6","Female","Undeclared","600","570","68710","67120"
"In post","2021","G6","Female","Unknown","1535","1445","68230","66260"
"In post","2021","G6","Male","Heterosexual / straight","5700","5580","69030","67470"
"In post","2021","G6","Male","LGBO","475","470","67900","66430"
"In post","2021","G6","Male","Undeclared","835","805","69890","68550"
"In post","2021","G6","Male","Unknown","1800","1750","69570","67370"
"In post","2021","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G7","Female","Heterosexual / straight","15670","14830","54940","53870"
"In post","2021","G7","Female","LGBO","785","765","54770","53600"
"In post","2021","G7","Female","Undeclared","1690","1610","55680","54540"
"In post","2021","G7","Female","Unknown","4305","4040","54560","53480"
"In post","2021","G7","Male","Heterosexual / straight","15265","14990","55670","54610"
"In post","2021","G7","Male","LGBO","1275","1260","55590","54700"
"In post","2021","G7","Male","Undeclared","2195","2150","56020","54760"
"In post","2021","G7","Male","Unknown","4690","4595","54950","53970"
"In post","2021","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HEO","Female","Heterosexual / straight","27490","25895","33170","32790"
"In post","2021","HEO","Female","LGBO","1550","1515","32980","32330"
