"Status","Year","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA","Heterosexual / straight","11895","10860","19860","19560"
"In post","2021","AA","LGBO","630","605","20130","20310"
"In post","2021","AA","Undeclared","1975","1695","19530","19560"
"In post","2021","AA","Unknown","4600","4110","20430","20600"
"In post","2021","AO","Heterosexual / straight","74260","67045","22880","21430"
"In post","2021","AO","LGBO","4275","4090","23150","21430"
"In post","2021","AO","Undeclared","10695","9480","22980","21440"
"In post","2021","AO","Unknown","32330","28715","22730","21030"
"In post","2021","EO","Heterosexual / straight","85265","79225","27690","27570"
"In post","2021","EO","LGBO","4975","4815","27640","27570"
"In post","2021","EO","Undeclared","11930","10905","27960","27570"
"In post","2021","EO","Unknown","26720","24510","27860","27570"
"In post","2021","G6","Heterosexual / straight","11055","10660","68530","66970"
"In post","2021","G6","LGBO","715","705","67980","66370"
"In post","2021","G6","Undeclared","1435","1370","69400","67940"
"In post","2021","G6","Unknown","3335","3190","68950","66610"
"In post","2021","G7","Heterosexual / straight","30935","29820","55300","54370"
"In post","2021","G7","LGBO","2065","2025","55270","54220"
"In post","2021","G7","Undeclared","3885","3760","55870","54700"
"In post","2021","G7","Unknown","9000","8640","54760","53620"
"In post","2021","HEO","Heterosexual / straight","51165","49010","33520","33170"
"In post","2021","HEO","LGBO","3230","3170","33160","32560"
"In post","2021","HEO","Undeclared","6985","6660","33950","33300"
"In post","2021","HEO","Unknown","15815","15235","33310","32180"
"In post","2021","SCS level","Heterosexual / straight","4900","4740","90230","82500"
"In post","2021","SCS level","LGBO","340","330","87540","79380"
"In post","2021","SCS level","Undeclared","485","460","89420","82130"
"In post","2021","SCS level","Unknown","1570","1525","92460","83040"
"In post","2021","SEO","Heterosexual / straight","35880","34530","41760","40580"
"In post","2021","SEO","LGBO","1935","1900","41140","40070"
"In post","2021","SEO","Undeclared","5045","4825","42300","41250"
"In post","2021","SEO","Unknown","8980","8615","41220","40300"
"In post","2021","Unknown","Heterosexual / straight","11625","10870","31830","30210"
"In post","2021","Unknown","LGBO","655","630","29690","28200"
"In post","2021","Unknown","Undeclared","1235","1155","34720","33820"
"In post","2021","Unknown","Unknown","3060","2945","34210","32700"
"Leaver CS","2021","AA","Heterosexual / straight","955","[c]","18830","18760"
"Leaver CS","2021","AA","LGBO","60","[c]","18280","18060"
"Leaver CS","2021","AA","Undeclared","155","[c]","18860","18760"
"Leaver CS","2021","AA","Unknown","800","[c]","19210","19060"
"Leaver CS","2021","AO","Heterosexual / straight","4255","[c]","21830","21010"
"Leaver CS","2021","AO","LGBO","280","[c]","21620","21010"
"Leaver CS","2021","AO","Undeclared","600","[c]","22150","21010"
"Leaver CS","2021","AO","Unknown","4800","[c]","21440","21010"
"Leaver CS","2021","EO","Heterosexual / straight","2670","[c]","27330","27570"
"Leaver CS","2021","EO","LGBO","160","[c]","27270","27570"
"Leaver CS","2021","EO","Undeclared","465","[c]","27860","27570"
"Leaver CS","2021","EO","Unknown","2885","[c]","27370","27570"
"Leaver CS","2021","G6","Heterosexual / straight","330","[c]","71950","70670"
"Leaver CS","2021","G6","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","G6","Undeclared","60","[c]","71970","68950"
"Leaver CS","2021","G6","Unknown","320","[c]","71180","70280"
"Leaver CS","2021","G7","Heterosexual / straight","855","[c]","56170","55000"
"Leaver CS","2021","G7","LGBO","55","[c]","55980","55330"
"Leaver CS","2021","G7","Undeclared","140","[c]","57600","56690"
"Leaver CS","2021","G7","Unknown","710","[c]","55540","55000"
"Leaver CS","2021","HEO","Heterosexual / straight","1475","[c]","33570","33300"
"Leaver CS","2021","HEO","LGBO","75","[c]","33650","33290"
"Leaver CS","2021","HEO","Undeclared","260","[c]","34230","33630"
"Leaver CS","2021","HEO","Unknown","1515","[c]","33070","32920"
"Leaver CS","2021","SCS level","Heterosexual / straight","235","[c]","97670","93400"
"Leaver CS","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Unknown","180","[c]","99050","90000"
"Leaver CS","2021","SEO","Heterosexual / straight","1110","[c]","42010","41030"
"Leaver CS","2021","SEO","LGBO","60","[c]","40650","40350"
"Leaver CS","2021","SEO","Undeclared","210","[c]","43400","43020"
"Leaver CS","2021","SEO","Unknown","830","[c]","41220","40080"
"Leaver CS","2021","Unknown","Heterosexual / straight","520","[c]","38260","36030"
